,page_number,character,counts_per_page
575,336,Himself,1
576,336,Incandenza,2
577,336,Madame,1
578,336,Madame Psychosis,1
579,336,Mario,2
580,340,Hal,1
581,341,Mario,1
582,342,Hal,1
583,343,Hal,2
584,343,Himself,1
585,343,Mario,2
586,344,Hal,1
587,344,Himself,4
588,345,Hal,1
589,353,Mario,2
590,353,Orin,1
591,354,Avril,1
592,354,Himself,10
593,354,Incandenza,1
594,354,Mario,1
595,354,Mondragon,1
596,354,Orin,3
597,355,Booboo,1
598,355,Himself,2
599,355,Mario,6
600,355,Mondragon,1
601,355,Orin,5
602,357,Mario,1
603,358,Hal,2
604,358,Himself,1
605,359,Himself,4
606,359,Mario,1
607,371,Hal,1
608,371,Himself,2
609,371,Mario,14
610,372,Hal,1
611,372,Himself,15
612,372,Mario,8
613,372,Orin,1
614,372,P.G.O.A.T.,1
615,373,Himself,5
616,373,Mario,1
617,374,Himself,5
618,374,Mario,5
619,374,Orin,5
620,375,Himself,6
621,375,Mario,5
622,375,Orin,3
623,376,Avril,1
624,376,Himself,13
625,376,Mario,4
626,376,Orin,14
627,377,Himself,15
628,377,Mario,4
629,377,Orin,17
630,381,Hal,10
631,383,Luria P.,1
632,383,Mario,4
633,383,Orin,6
634,386,Orin,1
635,387,Avril,1
636,387,Hal,3
637,387,Incandenza,3
638,387,Mario,2
639,388,Avril,1
640,388,Incandenza,6
641,389,Incandenza,3
642,390,Madame,4
643,390,Madame Psychosis,4
644,391,Incandenza,10
645,391,Madame,1
646,391,Madame Psychosis,1
647,392,Avril,1
648,392,Hal,6
649,392,Incandenza,5
650,392,Mario,1
651,393,Avril,6
652,393,Hal,14
653,393,Incandenza,3
654,393,Mario,2
655,393,Orin,3
656,395,Avril,2
657,395,Hal,1
658,395,Incandenza,2
659,395,Mario,1
660,395,Orin,4
661,396,Hal,13
662,396,Incandenza,2
663,396,Mario,9
664,396,Orin,5
665,397,Hal,2
666,397,Hallie,2
667,397,Orin,1
668,398,Hal,3
669,398,Hallie,3
670,398,Himself,3
671,399,Booboo,1
672,399,Hal,2
673,399,Hallie,2
674,399,Himself,1
675,400,Hal,3
676,400,Hallie,1
677,400,Himself,2
678,400,Incandenza,1
679,400,Orin,1
680,401,Hal,10
681,401,Hallie,2
682,401,Orin,4
683,402,Hal,12
684,402,Orin,5
685,403,Avril,2
686,403,Hal,12
687,403,Hallie,1
688,403,Himself,1
689,403,Incandenza,1
690,403,Mario,2
691,403,Orin,5
692,404,Hal,4
693,404,Incandenza,1
694,404,Mario,4
695,405,Hal,1
696,405,Incandenza,1
697,406,Avril,5
698,406,Booboo,1
699,406,Hal,5
700,406,Himself,8
701,406,Incandenza,2
702,406,Mario,2
703,406,Orin,1
704,407,Avril,4
705,407,Hal,4
706,407,Himself,3
707,407,Incandenza,4
708,407,Luria P.,1
709,407,Mario,4
710,407,Mondragon,1
711,408,Avril,1
712,408,Hal,1
713,408,Himself,2
714,408,Incandenza,1
715,408,Mario,4
716,409,Avril,1
717,409,Hal,10
718,409,Incandenza,3
719,409,Mario,3
720,409,Orin,1
721,410,Hal,1
722,410,Himself,1
723,410,Incandenza,1
724,411,Booboo,1
725,411,Hal,5
726,411,Hallie,4
727,411,Mario,5
728,412,Booboo,1
729,412,Hal,13
730,412,Hallie,6
731,412,Mario,2
732,413,Avril,3
733,413,Hal,1
734,413,Incandenza,1
735,413,Mario,4
736,414,Hal,2
737,414,Incandenza,9
738,414,J.O.I.,1
739,414,Luria P.,1
740,414,Mario,1
741,414,Orin,20
742,415,Hal,3
743,415,Incandenza,9
744,415,Mario,3
745,415,Orin,16
746,416,Avril,4
747,416,Hal,2
748,416,Incandenza,1
749,416,Orin,11
750,417,Hal,2
751,417,Himself,2
752,420,Hal,3
753,420,Incandenza,3
754,420,Orin,2
755,421,Hal,2
756,421,Hallie,1
757,421,Himself,4
758,421,Incandenza,1
759,421,Madame,1
760,421,Madame Psychosis,1
761,421,Mario,4
762,421,Orin,1
763,422,Hal,4
764,422,Hallie,1
765,422,Incandenza,2
766,422,Madame,1
767,423,Avril,2
768,423,Hal,1
769,423,Incandenza,1
770,424,Avril,1
771,424,Incandenza,1
772,425,Himself,1
773,425,Incandenza,1
774,426,Hal,4
775,426,Orin,1
776,427,Avril,1
777,427,Hal,2
778,427,Incandenza,1
779,427,J.O.I.,1
780,428,Hal,1
781,428,Incandenza,1
